id,date,holiday
782,2076-05-01,Dia do Trabalho
783,2076-06-18,Corpus Christi
784,2076-11-20,Dia Nacional da Consciência Negra
785,2076-12-24,Véspera de Natal
786,2076-12-25,Natal
787,2076-12-31,Véspera de Ano-Novo
788,2077-01-01,Confraternização Universal
789,2077-02-22,Carnaval
790,2077-02-23,Carnaval
791,2077-04-09,Sexta-feira Santa
792,2077-04-21,Tiradentes
793,2077-06-10,Corpus Christi
794,2077-12-24,Véspera de Natal
795,2077-12-31,Véspera de Ano-Novo
796,2078-02-14,Carnaval
797,2078-02-15,Carnaval
798,2078-04-01,Sexta-feira Santa
799,2078-04-21,Tiradentes
800,2078-06-02,Corpus Christi
801,2079-03-06,Carnaval
802,2079-03-07,Carnaval
803,2079-04-21,Tiradentes
804,2079-04-21,Sexta-feira Santa
805,2079-05-01,Dia do Trabalho
806,2079-06-22,Corpus Christi
807,2079-11-20,Dia Nacional da Consciência Negra
808,2079-12-25,Natal
809,2080-01-01,Confraternização Universal
810,2080-02-19,Carnaval
811,2080-02-20,Carnaval
812,2080-04-05,Sexta-feira Santa
813,2080-05-01,Dia do Trabalho
814,2080-06-06,Corpus Christi
815,2080-11-20,Dia Nacional da Consciência Negra
816,2080-12-24,Véspera de Natal
817,2080-12-25,Natal
818,2080-12-31,Véspera de Ano-Novo
819,2081-01-01,Confraternização Universal
820,2081-02-10,Carnaval
821,2081-02-11,Carnaval
822,2081-03-28,Sexta-feira Santa
823,2081-04-21,Tiradentes
824,2081-05-01,Dia do Trabalho
825,2081-05-29,Corpus Christi
826,2081-11-20,Dia Nacional da Consciência Negra
827,2081-12-24,Véspera de Natal
828,2081-12-25,Natal
829,2081-12-31,Véspera de Ano-Novo
830,2082-01-01,Confraternização Universal
831,2082-03-02,Carnaval
832,2082-03-03,Carnaval
833,2082-04-17,Sexta-feira Santa
834,2082-04-21,Tiradentes
835,2082-05-01,Dia do Trabalho
836,2082-06-18,Corpus Christi
837,2082-11-20,Dia Nacional da Consciência Negra
838,2082-12-24,Véspera de Natal
839,2082-12-25,Natal
840,2082-12-31,Véspera de Ano-Novo
841,2083-01-01,Confraternização Universal
842,2083-02-15,Carnaval
843,2083-02-16,Carnaval
844,2083-04-02,Sexta-feira Santa
845,2083-04-21,Tiradentes
846,2083-06-03,Corpus Christi
847,2083-12-24,Véspera de Natal
848,2083-12-31,Véspera de Ano-Novo
849,2084-02-07,Carnaval
850,2084-02-08,Carnaval
851,2084-03-24,Sexta-feira Santa
852,2084-04-21,Tiradentes
853,2084-05-01,Dia do Trabalho
854,2084-05-25,Corpus Christi
855,2084-11-20,Dia Nacional da Consciência Negra
856,2084-12-25,Natal
857,2085-01-01,Confraternização Universal
858,2085-02-26,Carnaval
859,2085-02-27,Carnaval
860,2085-04-13,Sexta-feira Santa
861,2085-05-01,Dia do Trabalho
862,2085-06-14,Corpus Christi
863,2085-11-20,Dia Nacional da Consciência Negra
864,2085-12-24,Véspera de Natal
865,2085-12-25,Natal
866,2085-12-31,Véspera de Ano-Novo
867,2086-01-01,Confraternização Universal
868,2086-02-11,Carnaval
869,2086-02-12,Carnaval
870,2086-03-29,Sexta-feira Santa
871,2086-05-01,Dia do Trabalho
872,2086-05-30,Corpus Christi
873,2086-11-20,Dia Nacional da Consciência Negra
874,2086-12-24,Véspera de Natal
875,2086-12-25,Natal
876,2086-12-31,Véspera de Ano-Novo
877,2087-01-01,Confraternização Universal
878,2087-03-03,Carnaval
879,2087-03-04,Carnaval
880,2087-04-18,Sexta-feira Santa
881,2087-04-21,Tiradentes
882,2087-05-01,Dia do Trabalho
883,2087-06-19,Corpus Christi
884,2087-11-20,Dia Nacional da Consciência Negra
885,2087-12-24,Véspera de Natal
886,2087-12-25,Natal
887,2087-12-31,Véspera de Ano-Novo
888,2088-01-01,Confraternização Universal
889,2088-02-23,Carnaval
890,2088-02-24,Carnaval
891,2088-04-09,Sexta-feira Santa
892,2088-04-21,Tiradentes
893,2088-06-10,Corpus Christi
894,2088-12-24,Véspera de Natal
895,2088-12-31,Véspera de Ano-Novo
896,2089-02-14,Carnaval
897,2089-02-15,Carnaval
898,2089-04-01,Sexta-feira Santa
899,2089-04-21,Tiradentes
900,2089-06-02,Corpus Christi
901,2090-02-27,Carnaval
902,2090-02-28,Carnaval
903,2090-04-14,Sexta-feira Santa
904,2090-04-21,Tiradentes
905,2090-05-01,Dia do Trabalho
906,2090-06-15,Corpus Christi
907,2090-11-20,Dia Nacional da Consciência Negra
908,2090-12-25,Natal
909,2091-01-01,Confraternização Universal
910,2091-02-19,Carnaval
911,2091-02-20,Carnaval
912,2091-04-06,Sexta-feira Santa
913,2091-05-01,Dia do Trabalho
914,2091-06-07,Corpus Christi
915,2091-11-20,Dia Nacional da Consciência Negra
916,2091-12-24,Véspera de Natal
917,2091-12-25,Natal
918,2091-12-31,Véspera de Ano-Novo
919,2092-01-01,Confraternização Universal
920,2092-02-11,Carnaval
921,2092-02-12,Carnaval
922,2092-03-28,Sexta-feira Santa
923,2092-04-21,Tiradentes
924,2092-05-01,Dia do Trabalho
925,2092-05-29,Corpus Christi
926,2092-11-20,Dia Nacional da Consciência Negra
927,2092-12-24,Véspera de Natal
928,2092-12-25,Natal
929,2092-12-31,Véspera de Ano-Novo
930,2093-01-01,Confraternização Universal
931,2093-02-23,Carnaval
932,2093-02-24,Carnaval
933,2093-04-10,Sexta-feira Santa
934,2093-04-21,Tiradentes
935,2093-05-01,Dia do Trabalho
936,2093-06-11,Corpus Christi
937,2093-11-20,Dia Nacional da Consciência Negra
938,2093-12-24,Véspera de Natal
939,2093-12-25,Natal
940,2093-12-31,Véspera de Ano-Novo
941,2094-01-01,Confraternização Universal
942,2094-02-15,Carnaval
943,2094-02-16,Carnaval
944,2094-04-02,Sexta-feira Santa
945,2094-04-21,Tiradentes
946,2094-06-03,Corpus Christi
947,2094-12-24,Véspera de Natal
948,2094-12-31,Véspera de Ano-Novo
949,2095-03-07,Carnaval
950,2095-03-08,Carnaval
951,2095-04-21,Tiradentes
952,2095-04-22,Sexta-feira Santa
953,2095-06-23,Corpus Christi
954,2096-02-27,Carnaval
955,2096-02-28,Carnaval
956,2096-04-13,Sexta-feira Santa
957,2096-05-01,Dia do Trabalho
958,2096-06-14,Corpus Christi
959,2096-11-20,Dia Nacional da Consciência Negra
960,2096-12-24,Véspera de Natal
961,2096-12-25,Natal
962,2096-12-31,Véspera de Ano-Novo
963,2097-01-01,Confraternização Universal
964,2097-02-11,Carnaval
965,2097-02-12,Carnaval
966,2097-03-29,Sexta-feira Santa
967,2097-05-01,Dia do Trabalho
968,2097-05-30,Corpus Christi
969,2097-11-20,Dia Nacional da Consciência Negra
970,2097-12-24,Véspera de Natal
971,2097-12-25,Natal
972,2097-12-31,Véspera de Ano-Novo
973,2098-01-01,Confraternização Universal
974,2098-03-03,Carnaval
975,2098-03-04,Carnaval
976,2098-04-18,Sexta-feira Santa
977,2098-04-21,Tiradentes
978,2098-05-01,Dia do Trabalho
979,2098-06-19,Corpus Christi
980,2098-11-20,Dia Nacional da Consciência Negra
981,2098-12-24,Véspera de Natal
982,2098-12-25,Natal
983,2098-12-31,Véspera de Ano-Novo
984,2099-01-01,Confraternização Universal
985,2099-02-23,Carnaval
986,2099-02-24,Carnaval
987,2099-04-10,Sexta-feira Santa
988,2099-04-21,Tiradentes
989,2099-05-01,Dia do Trabalho
990,2099-06-11,Corpus Christi
991,2099-11-20,Dia Nacional da Consciência Negra
992,2099-12-24,Véspera de Natal
993,2099-12-25,Natal
994,2099-12-31,Véspera de Ano-Novo
995,2100-01-01,Confraternização Universal
996,2100-02-08,Carnaval
997,2100-02-09,Carnaval
998,2100-03-26,Sexta-feira Santa
999,2100-04-21,Tiradentes
1000,2100-05-27,Corpus Christi
1001,2100-12-24,Véspera de Natal
1002,2100-12-31,Véspera de Ano-Novo
